region,ch_mort_rural,per_capita_cash_income,real_incomes,formal_wage_paid,real_pay,ch_mort_urban,total,18_30,31_40,41_50,51_60,60_,alco,drug,grp,all_some_tightness,all_large_tightness,total_area_for_person,living_area_for_person,living_room_count,cond_want_to_improve,improve_tightness,improve_bad_&_tightness_cond,new_born,population,poverty_percent,poverty_under_sixteen,poverty_above_working_age,poverty_working_age,manufacturing_industries_till_2016,energy_provision_till_2016,mining_till_2016,water_supply,mining,energy_provision,manufacturing_industries,industrial_production,retail_turnover,welfare_mean,Pergnancy_period,eye_diseases,muscul_&_connective_tissue_diseases,genitourinary_sys_diseases,nervous_sys_diseases,respiratory_diseases,digestive_sys_diseases,circulastory_sys_diseases,ear_diseases,endocrine_sys_diseases,malformations,all_diseases,infectious,neoplasms,perinatal_period,other_diseases,mental_diseases,injuries,area,population_density,population_general_growth,population_natural_growth,population_migration_growth,urban_population_share,rural_per_1000_city,migration_in,migration_out,new_born_for_1000
Белгородская область,36.526315789473685,30692.5,99.43333333333334,30920.333333333332,102.35000000000001,88.03,202033.859375,5353.171875,9767.109375,15291.140625,31774.765625,139847.671875,76.48,4.22,244680.47,11.7,2.0,25.1,17.8,2.6,12.0,4.2,0.4,14448.395999999999,1545565.2,14.757692307692308,29.399999999999995,8.233333333333334,29.03333333333333,340176334.2183333,22483980.200000003,72053663.07000001,10532428.475000001,158411361.2,26791541.65,702250454.7475,897985786.0224999,210246.0,14.0,11772.05,21266.391666666666,19841.966666666667,24385.491666666665,14991.616666666667,194681.40833333333,16233.641666666666,14611.083333333334,16708.766666666666,4520.333333333334,1102.625,444608.9098484849,30194.600000000002,3511.5166666666664,3013.9249999999997,7222.475,2874.5499999999997,43790.899999999994,27.1,56.5,-9342.0,-15778.0,6436.0,32.28,1.05,46566.0,40130.0,9.348292779884018
Брянская область,37.526315789473685,26015.5,98.38333333333333,26399.166666666668,100.76666666666667,95.94,106031.875,3666.515625,6347.0625,9856.75,19102.90625,67058.640625,169.42,14.05,123532.82,4.6,0.6,30.5,24.1,3.2,5.7,0.8,0.0,11112.797999999999,1213058.9,20.042307692307695,40.23333333333333,3.9333333333333336,55.833333333333336,95110534.17916667,11835489.108333334,276922.2791666666,8773979.425,296917.6,17344879.15,229727711.45,256143487.625,203402.25,23.0,13729.325,19281.008333333335,15776.324999999999,17437.475,13330.508333333333,235482.20833333334,32543.74166666667,10738.191666666666,14837.675000000001,9562.35,1549.5416666666667,477621.85757575755,16564.05,3619.3583333333336,764.9999999999999,10634.7875,2511.9166666666665,41469.158333333326,34.9,33.5,-13911.0,-14816.0,905.0,29.41,0.8,31287.0,30382.0,9.160971491161723
Владимирская область,26.68421052631579,23908.333333333332,98.14999999999999,29127.166666666668,101.69999999999999,107.31,123591.75,3894.78125,6714.328125,9472.3125,19517.328125,83993.0,121.35,9.74,149340.34,15.8,2.5,24.2,16.1,2.2,9.0,3.8,0.0,12598.6,1379575.9,23.092307692307692,39.49999999999999,7.233333333333333,53.26666666666667,221504806.60833332,23942449.764166668,2132893.6858333335,11442077.2225,4849978.175000001,36170907.3725,468223820.4625,520686783.2325,161352.875,22.0,12967.766666666666,20022.11666666667,15644.733333333334,22848.433333333334,10366.075,312352.7833333333,21673.699999999997,7223.791666666666,16743.825,6809.116666666668,1682.8416666666667,555124.5242424242,23639.983333333334,3397.0666666666666,2289.3999999999996,8229.625,3343.0916666666667,43851.425,29.1,45.5,-18440.0,-18914.0,474.0,21.83,0.91,30695.0,30221.0,9.132226795205687
Воронежская область,39.10526315789474,30422.833333333332,98.10000000000001,30077.0,101.05000000000001,142.38,214849.828125,6938.15625,11816.59375,17871.234375,39950.296875,138273.546875,129.57,16.51,168933.32,11.4,1.6,29.0,19.9,2.6,14.2,4.2,0.1,21509.397999999997,2323844.8,19.43846153846154,38.800000000000004,6.433333333333334,54.800000000000004,215292125.57250002,40705278.25666666,3808849.8283333336,14969465.45,8066536.025,109002283.43249999,482431170.57500005,614469455.4825001,231021.125,19.0,10468.516666666666,13405.4,11547.758333333333,12977.266666666666,7411.65,155440.18333333335,12273.941666666666,8395.841666666667,10822.258333333333,5319.8166666666675,933.1583333333333,316669.29772727273,10922.733333333332,2365.008333333333,2452.675,14744.487500000001,4829.358333333334,26161.741666666665,52.2,43.8,-17930.0,-27992.0,10062.0,31.89,1.57,65639.0,55577.0,9.255952893239686
Ивановская область,14.0,24567.833333333332,97.58333333333333,24856.666666666668,99.55000000000001,92.25,77695.1875,2746.984375,4602.3125,6394.8125,11867.265625,52083.8125,154.69,10.56,98471.1,19.1,3.9,25.2,18.1,2.4,13.4,5.5,0.9,9141.8,1016191.9,30.826923076923077,37.300000000000004,8.466666666666667,54.23333333333333,71149630.63833334,21904180.550833333,619580.8583333333,5282217.5,1033696.0,30169063.15,157071216.75,193556193.4,164095.25,25.0,9587.075,25243.4,17128.399999999998,22518.908333333333,10682.483333333332,341399.36666666664,14257.016666666666,7540.783333333333,19679.649999999998,6077.025,3003.9500000000003,577091.9757575758,16116.125,4198.383333333333,1363.7666666666667,6259.1625,3568.3416666666667,47496.925,21.4,45.6,-10114.0,-12794.0,2680.0,18.11,0.67,27887.0,25207.0,8.996135474018244
Калужская область,21.473684210526315,29652.333333333332,98.21666666666668,36595.166666666664,101.01666666666667,74.78,76403.46875,3078.25,4873.34375,6467.75,12617.515625,49366.609375,121.14,9.14,196359.24,16.8,3.3,22.6,15.5,2.2,4.3,2.5,0.0,10312.6,1008289.2,19.376923076923077,37.800000000000004,10.633333333333333,51.56666666666667,286222287.3283333,14801408.89583333,2273851.3166666664,9653256.625,4025444.6249999995,23811903.45,817518945.8499999,855009550.5500001,192933.5,17.0,12973.525000000001,19319.44166666667,19239.708333333336,16224.466666666667,11548.241666666669,264428.4083333334,15906.258333333331,7484.624999999998,11832.166666666668,4606.583333333333,1501.75,459715.99015151523,14945.891666666668,2805.858333333333,1315.675,5118.3125,2355.991666666667,29965.391666666663,29.8,34.0,11864.0,-10788.0,22652.0,24.11,0.7,58255.0,35603.0,10.227819558118842
Костромская область,22.263157894736842,23997.833333333332,98.23333333333333,26784.0,101.33333333333333,56.38,59004.484375,2051.4375,3720.921875,4771.03125,10176.40625,38284.6875,105.27,11.02,135356.55,15.6,3.7,21.7,14.5,2.2,7.8,4.2,0.9,6428.593999999999,643246.7,21.426923076923078,43.23333333333333,5.033333333333334,51.699999999999996,73899501.2675,26176378.979166668,252557.74166666667,3475098.0749999997,722849.5249999999,37505769.125,133876644.795,175580361.52,158542.5,19.0,19708.491666666665,13302.566666666666,9325.8,13936.083333333334,6272.108333333334,283347.4916666667,12556.949999999999,6241.35,12381.525,4584.491666666667,959.175,461749.6310606061,17200.458333333332,2866.55,2024.1666666666667,5694.1625,2832.3416666666667,44374.39166666666,60.2,10.3,-7647.0,-7675.0,28.0,26.62,0.43,18768.0,18740.0,9.993978981936479
Курская область,29.105263157894736,27167.833333333332,98.58333333333333,29162.166666666668,101.18333333333334,91.44,118176.890625,4975.265625,8567.453125,13434.515625,25495.296875,65704.359375,146.28,18.05,170308.99,13.3,1.7,24.4,17.1,2.4,16.6,5.7,0.0,10371.6,1110482.5,18.442307692307693,39.4,7.2,53.43333333333334,92703079.6725,45582619.02666667,37289515.199999996,7219572.149999999,92404853.925,59084033.35,194623977.70000002,353332437.125,187211.625,21.0,4626.941666666667,12824.400000000001,16571.375,11283.258333333333,7958.666666666666,180376.97499999998,20461.708333333332,5551.916666666667,10906.866666666667,5558.358333333334,1603.0333333333335,354837.975,15318.166666666664,2624.016666666667,3127.25,7259.687500000001,3405.4916666666672,32132.108333333334,30.0,36.1,-12904.0,-14602.0,1698.0,31.21,0.74,31727.0,30029.0,9.339723948824048
Липецкая область,30.63157894736842,29782.0,98.43333333333334,30319.5,102.0,69.75,116298.171875,3895.421875,6670.59375,9831.609375,20764.4375,75136.109375,139.52,12.65,217216.27,13.5,4.0,24.5,16.5,2.5,10.3,3.1,0.0,10958.398,1146775.9,14.71923076923077,39.26666666666667,7.333333333333333,53.4,349310026.0025,22107595.346666668,3896393.4641666673,11362149.25,6848052.075,24792685.3,701470848.85,744473735.45,216674.0,20.0,12914.766666666666,13339.216666666667,10318.975,15840.875,5666.949999999999,212384.43333333332,12233.616666666667,5707.716666666666,13545.308333333334,2983.3,963.4583333333333,392395.29924242425,15837.675,2244.2166666666667,2872.9,6920.487499999999,3181.883333333333,44008.61666666667,24.0,46.3,-14512.0,-14770.0,258.0,35.45,0.77,30459.0,30201.0,9.555832137735019
Московская область,63.526315789473685,43506.333333333336,99.94999999999999,49282.333333333336,100.59999999999998,493.69,415609.515625,16649.125,26091.859375,35082.0625,67040.125,270746.34375,83.14,17.18,255299.9,17.3,4.4,22.3,14.8,2.1,11.0,6.1,0.5,84295.38199999998,7442616.1,16.03076923076923,43.43333333333333,8.299999999999999,48.23333333333333,1331750775.0366669,209516787.00250003,9011658.508333333,94474868.0625,13963392.174999999,280464699.6125,2764884561.6549997,3153787521.505,301927.0,18.0,8301.141666666666,14256.633333333331,12187.533333333333,12708.058333333334,8149.25,237442.46666666667,16192.083333333336,6635.424999999999,11432.191666666666,3281.2,773.1916666666668,416032.72045454546,15044.008333333335,2635.9083333333333,2292.6166666666663,7152.424999999999,2764.0666666666666,39219.025,44.3,175.3,60379.0,-52662.0,113041.0,18.47,5.34,353038.0,239997.0,11.326041927649605
